,KODE,PT,KOTA,FASWIL,KEBIJAKAN,,,STANDAR_INSTITUSI,,,STDL,AMI,,,EVALUASI_LAIN,,,JML. EV. LAIN,PENGENDALIAN,,,PENINGKATAN,,,BOBOT VLD,Ket. Validasi,BOBOT VER,Ket. Verifikasi,BOBOT UNG,Ket. Unggah,Klaster,COUNT,
82,41005,Universitas Islam Syekh-Yusuf,Kota Tangerang,Yusep Ikrawan,6,6,6,10,10,10,2,3,3,3,4,0,0,0,4,4,4,6,6,6,83%,Belum Tervalidasi,83%,Belum Terverifikasi,83%,Tidak Lengkap,Hijau,,
83,43196,Sekolah Tinggi Bahasa Asing Technocrat,Kabupaten Tangerang,Lisye Fitria,6,6,6,10,10,10,4,3,3,3,4,4,4,1,3,3,3,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning,,
84,43213,Sekolah Tinggi Ilmu Kesehatan Indramayu,Kabupaten Indramayu,Supriyadi Sadikin,6,6,6,10,10,10,1,3,3,3,4,4,4,1,3,3,3,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning,,
85,43326,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Bina Mutiara,Kabupaten Sukabumi,Meita Lukitawati Sujatna,6,6,6,10,10,10,4,3,3,3,4,4,4,5,3,3,3,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning,,
86,43319,Sekolah Tinggi Pariwisata Bogor,Kota Bogor,Supriyadi Sadikin,6,6,6,10,10,10,10,3,3,3,4,4,4,2,4,0,0,6,6,6,71%,Belum Tervalidasi,71%,Belum Terverifikasi,83%,Tidak Lengkap,Kuning,,
87,41037,Universitas Al-ghifari,Kota Bandung,Nan Rahminawati,6,6,6,10,10,10,1,3,3,3,4,4,4,3,3,3,3,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning,,
88,41021,Universitas Jenderal Achmad Yani,Kota Cimahi,Nanah Sujanah,6,6,6,10,10,10,0,3,3,3,4,4,4,0,3,3,3,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning,,
89,41027,Universitas Komputer Indonesia,Kota Bandung,Nan Rahminawati,6,2,2,10,10,10,10,3,2,2,2,1,1,4,8,8,8,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,94%,Tidak Lengkap,Kuning,,
90,41071,Universitas Raharja,Kota Tangerang,Lisye Fitria,6,6,6,10,7,7,8,3,1,1,4,4,4,0,9,9,8,6,6,6,80%,Belum Tervalidasi,83%,Belum Terverifikasi,97%,Tidak Lengkap,Kuning,,
91,44239,Akademi Farmasi Bumi Siliwangi,Kota Bandung,Lisye Fitria,6,6,6,9,9,9,1,3,3,3,2,2,2,0,2,2,2,6,1,1,60%,Belum Tervalidasi,60%,Belum Terverifikasi,74%,Tidak Lengkap,Kuning,,
92,44196,Akademi Kebidanan Prima Husada,Kota Bogor,Nan Rahminawati,6,6,6,10,10,10,1,3,1,1,1,0,0,1,3,3,3,6,6,6,74%,Belum Tervalidasi,74%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning,,
93,44160,Akademi Keperawatan Buntet Pesantren,Kabupaten Cirebon,Yusep Ikrawan,6,6,6,10,10,10,0,3,3,3,4,3,3,0,3,3,3,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning,,
94,44143,Akademi Keperawatan Kebonjati,Kota Bandung,Dewi Kurniasih,6,0,0,10,10,10,1,3,0,0,0,0,0,0,4,4,0,6,3,3,37%,Belum Tervalidasi,49%,Belum Terverifikasi,83%,Tidak Lengkap,Merah,,
95,44230,Akademi Keperawatan RS Efarina,Kabupaten Purwakarta,Supriyadi Sadikin,6,6,6,10,10,6,1,3,3,2,0,0,0,0,3,3,3,6,6,4,60%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning,,
96,44052,Akademi Maritim Cirebon,Kota Cirebon,Emma Hermawati Muhari,6,6,6,10,10,10,2,2,2,2,4,3,3,1,4,4,4,6,5,5,77%,Belum Tervalidasi,77%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning,,
97,44071,Akademi Sekretari Dan Manajemen Ariyanti,Kota Bandung,Emma Hermawati Muhari,6,6,6,9,9,9,7,3,3,0,4,4,3,0,5,5,5,6,6,4,69%,Belum Tervalidasi,83%,Belum Terverifikasi,83%,Tidak Lengkap,Kuning,,
98,44108,AMIK Citra Buana Indonesia,Kota Sukabumi,Meita Lukitawati Sujatna,6,6,6,8,8,8,1,3,3,3,4,1,1,1,3,3,3,5,5,5,71%,Belum Tervalidasi,71%,Belum Terverifikasi,71%,Tidak Lengkap,Kuning,,
99,44009,AMIK Wira Nusantara,Kabupaten Lebak,Lisye Fitria,6,6,6,8,8,8,1,3,3,3,0,0,0,0,1,1,1,6,6,6,69%,Belum Tervalidasi,69%,Belum Terverifikasi,69%,Tidak Lengkap,Kuning,,
100,42010,Institut Bisnis Muhammadiyah Bekasi,Kota Bekasi,Nanah Sujanah,6,6,0,10,10,9,8,3,3,2,3,3,2,0,10,10,10,6,6,0,60%,Belum Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Kuning,,
101,42012,Institut Keguruan dan Ilmu Pendidikan Siliwangi,Kota Cimahi,Supriyadi Sadikin,6,6,6,10,10,10,12,3,2,2,4,2,2,57,3,3,0,6,6,6,69%,Belum Tervalidasi,77%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning,,
102,42017,Institut Kesehatan Rajawali,Kota Bandung,Nanah Sujanah,6,6,6,9,8,8,0,3,3,3,0,0,0,0,9,6,6,6,5,5,80%,Belum Tervalidasi,80%,Belum Terverifikasi,94%,Tidak Lengkap,Kuning,,
103,42026,Institut Teknologi dan Bisnis Banten,Kota Serang,Emma Hermawati Muhari,6,6,6,10,10,10,0,3,3,3,0,0,0,1,3,3,3,5,5,4,74%,Belum Tervalidasi,77%,Belum Terverifikasi,77%,Tidak Lengkap,Kuning,,
104,42020,Institut Teknologi Garut,Kabupaten Garut,Dewi Kurniasih,6,6,6,10,10,10,15,3,0,0,1,0,0,0,2,0,0,6,6,6,63%,Belum Tervalidasi,63%,Belum Terverifikasi,77%,Tidak Lengkap,Kuning,,
105,42006,Institut Teknologi Harapan Bangsa,Kota Bandung,Lisye Fitria,6,6,6,6,6,6,3,3,3,3,4,3,3,0,2,2,0,6,6,6,60%,Belum Tervalidasi,66%,Belum Terverifikasi,66%,Tidak Lengkap,Kuning,,
106,42015,Institut Teknologi Tangerang Selatan,Kota Tangerang Selatan,Emma Hermawati Muhari,6,6,6,10,10,10,0,3,3,3,4,4,1,0,1,1,0,6,6,2,60%,Belum Tervalidasi,74%,Belum Terverifikasi,74%,Tidak Lengkap,Kuning,,
107,45030,Politeknik Al-Islam Bandung,Kota Bandung,Nandi Widarman S,6,6,6,6,6,6,5,3,3,3,3,0,0,1,6,6,6,6,6,1,63%,Belum Tervalidasi,77%,Belum Terverifikasi,77%,Tidak Lengkap,Kuning,,
108,45046,Politeknik Bhakti Asih Purwakarta,Kabupaten Purwakarta,Nandi Widarman S,6,6,6,10,10,10,0,3,3,3,4,0,0,0,10,10,2,6,3,3,69%,Belum Tervalidasi,91%,Belum Terverifikasi,100%,Sudah Unggah,Kuning,,
109,45053,Politeknik Bina Madani,Kabupaten Bekasi,Nandi Widarman S,6,6,6,4,4,4,0,3,3,3,0,0,0,0,6,6,6,6,5,5,69%,Belum Tervalidasi,69%,Belum Terverifikasi,71%,Tidak Lengkap,Kuning,,
110,45033,Politeknik Kesehatan Bhakti Pertiwi Husada,Kota Cirebon,Nandi Widarman S,6,6,6,10,10,10,1,3,3,3,2,1,1,0,1,1,1,6,6,6,74%,Belum Tervalidasi,74%,Belum Terverifikasi,74%,Tidak Lengkap,Kuning,,
111,45051,Politeknik Kesehatan Genesis Medicare,Kota Depok,Supriyadi Sadikin,6,6,6,9,9,9,2,3,3,3,3,3,3,0,3,3,3,6,6,6,77%,Belum Tervalidasi,77%,Belum Terverifikasi,77%,Tidak Lengkap,Kuning,,
112,45010,Politeknik Piksi Input Serang,Kabupaten Serang,Emma Hermawati Muhari,6,6,6,5,5,5,0,3,3,3,4,4,3,0,5,5,5,6,6,6,71%,Belum Tervalidasi,71%,Belum Terverifikasi,71%,Tidak Lengkap,Kuning,,
113,45012,Politeknik Tri Mitra Karya Mandiri,Kabupaten Karawang,Emma Hermawati Muhari,6,6,6,10,10,10,0,3,3,3,0,0,0,0,1,1,1,6,5,5,71%,Belum Tervalidasi,71%,Belum Terverifikasi,74%,Tidak Lengkap,Kuning,,
114,45037,Politeknik Triguna Tasikmalaya,Kota Tasikmalaya,Meita Lukitawati Sujatna,6,6,6,10,10,10,0,3,3,3,0,0,0,0,3,3,3,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning,,
115,45041,Politeknik Tunas Pemuda,Kota Tangerang,Dewi Kurniasih,6,6,6,10,10,10,2,3,3,3,3,1,1,0,3,3,3,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning,,
116,43131,Sekolah Tinggi Bahasa Asing JIA,Kota Bekasi,Meita Lukitawati Sujatna,6,6,6,8,8,8,0,3,3,3,0,0,0,0,3,3,3,6,6,0,57%,Belum Tervalidasi,74%,Belum Terverifikasi,74%,Tidak Lengkap,Kuning,,
117,43035,Sekolah Tinggi Bahasa Asing Yapari,Kota Bandung,Nanah Sujanah,6,6,6,10,10,10,7,3,3,3,3,2,2,0,3,3,3,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning,,
118,43079,Sekolah Tinggi Desain Indonesia Bandung,Kota Bandung,Nanah Sujanah,6,6,6,10,10,10,0,3,3,3,4,4,2,0,0,0,0,2,2,2,60%,Belum Tervalidasi,60%,Belum Terverifikasi,60%,Tidak Lengkap,Kuning,,
119,43003,Sekolah Tinggi Hukum Pasundan,Kota Sukabumi,Nan Rahminawati,6,6,5,9,9,9,6,3,1,0,4,4,0,0,5,5,5,6,6,6,71%,Belum Tervalidasi,77%,Belum Terverifikasi,83%,Tidak Lengkap,Kuning,,
120,43227,Sekolah Tinggi Ilmu Ekonomi BII Bekasi,Kabupaten Bekasi,Dewi Kurniasih,6,6,6,10,10,10,0,3,3,3,4,4,1,2,10,0,0,6,6,6,71%,Belum Tervalidasi,71%,Belum Terverifikasi,100%,Sudah Unggah,Kuning,,
121,43349,Sekolah Tinggi Ilmu Ekonomi Ekadharma Indonesia,Kabupaten Bekasi,Meita Lukitawati Sujatna,6,6,6,10,10,10,0,3,3,3,3,3,3,0,3,3,3,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning,,
122,43296,Sekolah Tinggi Ilmu Ekonomi Harapan Bangsa,Kota Bandung,Nan Rahminawati,6,6,6,6,5,5,3,3,3,3,4,2,2,0,2,2,2,6,6,6,63%,Belum Tervalidasi,63%,Belum Terverifikasi,66%,Tidak Lengkap,Kuning,,
123,43088,Sekolah Tinggi Ilmu Ekonomi Miftahul Huda,Kabupaten Subang,Nanah Sujanah,6,6,6,10,10,10,2,3,3,3,0,0,0,0,2,2,2,6,6,6,77%,Belum Tervalidasi,77%,Belum Terverifikasi,77%,Tidak Lengkap,Kuning,,
124,43043,Sekolah Tinggi Ilmu Ekonomi Pasundan,Kota Bandung,Nan Rahminawati,6,6,6,10,10,10,5,3,3,3,2,2,2,0,3,3,3,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning,,
125,43096,Sekolah Tinggi Ilmu Ekonomi Tri Bhakti,Kabupaten Bekasi,Lisye Fitria,6,6,6,9,9,9,0,3,3,3,4,4,4,0,0,0,0,0,0,0,51%,Belum Tervalidasi,51%,Belum Terverifikasi,51%,Tidak Lengkap,Kuning,,
126,43114,Sekolah Tinggi Ilmu Ekonomi Yasmi,Kabupaten Cirebon,Lisye Fitria,6,6,5,7,7,4,0,3,3,2,4,4,4,0,4,4,3,6,6,6,57%,Belum Tervalidasi,74%,Belum Terverifikasi,74%,Tidak Lengkap,Kuning,,
127,43372,Sekolah Tinggi Ilmu Kesehatan Ahmad Dahlan Cirebon,Kabupaten Cirebon,Lisye Fitria,6,6,6,6,6,6,4,3,0,0,3,0,0,0,6,6,6,6,6,6,69%,Belum Tervalidasi,69%,Belum Terverifikasi,77%,Tidak Lengkap,Kuning,,
128,43365,Sekolah Tinggi Ilmu Kesehatan Bogor Husada,Kota Bogor,Lisye Fitria,6,6,6,7,7,7,1,3,0,0,0,0,0,0,6,6,6,6,2,2,60%,Belum Tervalidasi,60%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning,,
129,43382,Sekolah Tinggi Ilmu Kesehatan Cianjur,Kabupaten Cianjur,Emma Hermawati Muhari,6,6,5,10,10,10,0,3,3,1,0,0,0,0,7,7,7,6,6,5,80%,Belum Tervalidasi,91%,Belum Terverifikasi,91%,Tidak Lengkap,Kuning,,
130,43178,Sekolah Tinggi Ilmu Kesehatan Cirebon,Kota Cirebon,Yusep Ikrawan,6,6,6,10,10,10,1,3,3,2,4,4,2,0,1,1,0,6,6,6,69%,Belum Tervalidasi,74%,Belum Terverifikasi,74%,Tidak Lengkap,Kuning,,
131,43212,Sekolah Tinggi Ilmu Kesehatan Dharma Husada,Kota Bandung,Nandi Widarman S,6,6,6,10,10,10,4,3,2,2,1,1,1,1,7,6,0,6,5,5,66%,Belum Tervalidasi,83%,Belum Terverifikasi,91%,Tidak Lengkap,Kuning,,
132,43288,Sekolah Tinggi Ilmu Kesehatan Kuningan,Kabupaten Kuningan,Dewi Kurniasih,6,6,6,10,7,7,1,3,1,1,4,3,3,7,7,1,1,6,6,6,60%,Belum Tervalidasi,60%,Belum Terverifikasi,91%,Tidak Lengkap,Kuning,,
133,43371,Sekolah Tinggi Ilmu Kesehatan Pelita Ilmu Depok,Kota Depok,Yusep Ikrawan,6,2,2,9,3,3,1,3,3,3,0,0,0,0,6,6,6,6,6,6,57%,Belum Tervalidasi,57%,Belum Terverifikasi,86%,Tidak Lengkap,Kuning,,
134,43374,Sekolah Tinggi Ilmu Kesehatan Permata Nusantara,Kabupaten Cianjur,Emma Hermawati Muhari,6,6,6,10,10,10,17,3,3,3,4,4,3,0,3,3,3,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning,,
135,43358,Sekolah Tinggi Ilmu Kesehatan Salsabila Serang,Kota Serang,Dewi Kurniasih,6,1,1,10,8,8,1,3,0,0,4,0,0,0,10,10,10,6,6,6,71%,Belum Tervalidasi,71%,Belum Terverifikasi,100%,Sudah Unggah,Kuning,,
136,43286,Sekolah Tinggi Ilmu Kesehatan Sukabumi,Kota Sukabumi,Dewi Kurniasih,6,6,6,5,5,5,3,3,3,3,4,0,0,3,5,5,5,6,2,2,60%,Belum Tervalidasi,60%,Belum Terverifikasi,71%,Tidak Lengkap,Kuning,,
137,43282,Sekolah Tinggi Ilmu Kesehatan Widya Dharma Husada Tangerang,Kota Tangerang Selatan,Dewi Kurniasih,6,6,6,10,9,9,7,3,3,3,4,3,3,0,10,1,1,6,2,2,60%,Belum Tervalidasi,60%,Belum Terverifikasi,100%,Sudah Unggah,Kuning,,
138,43380,Sekolah Tinggi Manajemen Informatika dan Komputer Al-Fath,Kota Sukabumi,Nanah Sujanah,6,6,6,10,10,10,0,3,3,3,0,0,0,0,3,3,3,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning,,
139,43044,Sekolah Tinggi Teknologi Bina Tunggal,Kota Bekasi,Meita Lukitawati Sujatna,6,6,6,4,4,4,0,3,3,3,4,4,1,0,1,1,1,6,6,6,57%,Belum Tervalidasi,57%,Belum Terverifikasi,57%,Tidak Lengkap,Kuning,,
140,43100,Sekolah Tinggi Teknologi Cipasung,Kabupaten Tasikmalaya,Lisye Fitria,6,6,6,10,10,10,1,3,3,3,1,1,1,0,3,3,0,6,6,6,71%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning,,
141,43050,Sekolah Tinggi Teknologi Cirebon,Kota Cirebon,Nandi Widarman S,6,6,6,9,8,8,9,3,3,3,2,2,2,0,1,1,1,6,1,1,54%,Belum Tervalidasi,54%,Belum Terverifikasi,71%,Tidak Lengkap,Kuning,,
142,43192,Sekolah Tinggi Teknologi Informatika Sony Sugema,Kabupaten Karawang,Nanah Sujanah,6,6,6,10,10,10,0,3,3,3,1,1,1,0,1,1,1,6,6,6,74%,Belum Tervalidasi,74%,Belum Terverifikasi,74%,Tidak Lengkap,Kuning,,
143,43253,Sekolah Tinggi Teknologi Muhammadiyah Cileungsi,Kabupaten Bogor,Dewi Kurniasih,6,6,6,10,10,10,0,3,1,1,3,3,3,0,3,3,3,6,6,6,74%,Belum Tervalidasi,74%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning,,
144,43262,Sekolah Tinggi Teknologi Pratama Adi,Kabupaten Bandung,Supriyadi Sadikin,6,6,6,10,10,10,0,3,3,3,4,4,4,0,1,1,0,6,6,6,71%,Belum Tervalidasi,74%,Belum Terverifikasi,74%,Tidak Lengkap,Kuning,,
145,43269,STIE Dharma Negara,Kota Bandung,Nandi Widarman S,6,6,5,10,10,8,2,3,3,3,0,0,0,0,9,9,9,6,6,6,89%,Belum Tervalidasi,97%,Belum Terverifikasi,97%,Tidak Lengkap,Hijau,,
146,43361,STIKES Muhammadiyah Kuningan,Kabupaten Kuningan,Dewi Kurniasih,6,4,4,9,9,9,2,3,3,3,2,0,0,4,9,9,9,0,0,0,71%,Belum Tervalidasi,71%,Belum Terverifikasi,77%,Tidak Lengkap,Kuning,,
147,43341,STISIP Trimasda Cilegon,Kota Cilegon,Nandi Widarman S,6,6,6,10,10,10,1,3,3,3,2,0,0,0,1,1,1,6,6,6,74%,Belum Tervalidasi,74%,Belum Terverifikasi,74%,Tidak Lengkap,Kuning,,
148,43137,STMIK Amik Bandung,Kota Bandung,Nanah Sujanah,6,5,5,5,5,5,0,3,3,3,0,0,0,0,8,8,8,6,6,6,77%,Belum Tervalidasi,77%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning,,
149,43063,STMIK Bandung,Kota Bandung,Lisye Fitria,6,6,6,10,10,10,0,3,3,3,3,3,2,0,1,1,1,6,6,6,74%,Belum Tervalidasi,74%,Belum Terverifikasi,74%,Tidak Lengkap,Kuning,,
150,43185,STMIK IKMI Cirebon,Kota Cirebon,Lisye Fitria,6,6,6,10,10,10,0,3,3,3,2,2,2,0,3,3,3,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning,,
151,43232,STMIK Mercusuar,Kota Bekasi,Meita Lukitawati Sujatna,6,6,6,8,8,8,0,2,2,2,1,1,1,0,0,0,0,6,6,6,63%,Belum Tervalidasi,63%,Belum Terverifikasi,63%,Tidak Lengkap,Kuning,,
152,43139,STMIK Rosma,Kabupaten Karawang,Meita Lukitawati Sujatna,6,6,6,8,8,8,4,3,3,3,4,0,0,0,5,5,5,6,0,0,63%,Belum Tervalidasi,63%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning,,
153,41077,Universitas Adhirajasa Reswara Sanjaya,Kota Bandung,Emma Hermawati Muhari,6,6,6,9,9,9,6,3,3,3,1,1,1,0,9,9,9,6,6,5,91%,Belum Tervalidasi,94%,Belum Terverifikasi,94%,Tidak Lengkap,Hijau,,
154,41098,Universitas Bakti Tunas Husada,Kota Tasikmalaya,Nandi Widarman S,6,6,6,5,5,5,2,3,3,3,4,3,3,0,3,3,3,6,6,6,66%,Belum Tervalidasi,66%,Belum Terverifikasi,66%,Tidak Lengkap,Kuning,,
155,41055,Universitas Banten Jaya,Kota Serang,Yusep Ikrawan,6,6,6,10,10,10,14,3,3,3,4,4,3,0,2,2,2,6,6,6,77%,Belum Tervalidasi,77%,Belum Terverifikasi,77%,Tidak Lengkap,Kuning,,
156,41081,Universitas Binaniaga Indonesia,Kota Bogor,Yusep Ikrawan,6,6,6,10,9,9,0,3,3,3,4,4,4,0,8,4,4,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,94%,Tidak Lengkap,Kuning,,
157,41062,Universitas Buana Perjuangan Karawang,Kabupaten Karawang,Nandi Widarman S,6,6,2,10,10,7,9,3,3,3,1,0,0,10,10,10,10,6,6,4,74%,Belum Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Kuning,,
158,41060,Universitas Buddhi Dharma,Kota Tangerang,Yusep Ikrawan,6,6,6,5,5,5,5,3,3,3,4,4,4,2,4,4,4,6,6,6,69%,Belum Tervalidasi,69%,Belum Terverifikasi,69%,Tidak Lengkap,Kuning,,
159,41086,Universitas Cendekia Abditama,Kabupaten Tangerang,Meita Lukitawati Sujatna,6,6,6,10,10,10,0,3,3,3,0,0,0,0,1,1,1,6,6,6,74%,Belum Tervalidasi,74%,Belum Terverifikasi,74%,Tidak Lengkap,Kuning,,
160,41089,Universitas Cipasung Tasikmalaya,Kabupaten Tasikmalaya,Nanah Sujanah,6,6,6,10,10,10,1,3,3,3,4,1,1,1,1,1,1,6,6,6,74%,Belum Tervalidasi,74%,Belum Terverifikasi,74%,Tidak Lengkap,Kuning,,
161,41082,Universitas Global Jakarta,Kota Depok,Supriyadi Sadikin,6,6,6,10,8,8,2,3,3,3,4,3,3,1,5,5,5,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,86%,Tidak Lengkap,Kuning,,
162,41001,Universitas Ibn Khaldun Bogor,Kota Bogor,Supriyadi Sadikin,6,5,5,10,8,8,2,3,3,3,4,1,1,0,1,1,0,6,6,6,63%,Belum Tervalidasi,66%,Belum Terverifikasi,74%,Tidak Lengkap,Kuning,,
163,41093,Universitas Indonesia Membangun,Kota Bandung,Supriyadi Sadikin,6,6,6,10,10,10,0,3,3,3,2,1,1,0,3,3,3,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning,,
164,41110,Universitas Insan Pembangunan Indonesia,Kabupaten Tangerang,Meita Lukitawati Sujatna,6,6,6,10,10,10,3,3,3,3,3,0,0,1,10,3,3,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,100%,Sudah Unggah,Kuning,,
165,41003,Universitas Islam Nusantara,Kota Bandung,Lisye Fitria,6,6,6,10,10,10,0,3,0,0,4,2,2,0,7,7,7,6,1,1,69%,Belum Tervalidasi,69%,Belum Terverifikasi,91%,Tidak Lengkap,Kuning,,
166,41015,Universitas Langlang Buana,Kota Bandung,Lisye Fitria,6,6,6,10,10,10,0,3,0,0,3,3,3,0,3,3,3,6,0,0,54%,Belum Tervalidasi,54%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning,,
167,41120,Universitas Linggabuana PGRI Sukabumi,Kota Sukabumi,Lisye Fitria,6,6,6,10,5,5,3,3,3,3,0,0,0,0,1,1,1,5,5,5,57%,Belum Tervalidasi,57%,Belum Terverifikasi,71%,Tidak Lengkap,Kuning,,
