KODEPT,PT,tutup,KEBIJAKAN_UNGGAH,KEBIJAKAN_VERIFIED,KEBIJAKAN_VALID,STANDAR_INSTITUSI_UNGGAH,STANDAR_INSTITUSI_VERIFIED,STANDAR_INSTITUSI_VALID,JML_STDLAIN_VALID,AMI_UNGGAH,AMI_VERIFIED,AMI_VALID,EVALUASI_LAIN_UNGGAH,EVALUASI_LAIN_VERIFIED,EVALUASI_LAIN_VALID,JML_EVAL_LAIN_VALID,PENGENDALIAN_UNGGAH,PENGENDALIAN_VERIFIED,PENGENDALIAN_VALID,PENINGKATAN_UNGGAH,PENINGKATAN_VERIFIED,PENINGKATAN_VALID,BOBOT VALID,KETERANGAN VALID,BOBOT VERIFIKASI,KETERANGAN,BOBOT UNGGAH ,KETERANGAN,KLASTER
44002,Akademi Akuntansi Bandung,,6,5,1,10,10,8,0,3,1,1,4,0,0,0,10,0,0,6,0,0,29%,Belum Tervalidasi,46%,Belum Terverifikasi,100%,Sudah Unggah,Merah
44132,Akademi Analis Kesehatan An Nasher Cirebon,,6,6,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,40%,Belum Terverifikasi,40%,Tidak Lengkap,Kuning
44133,Akademi Bahasa Asing Internasional Bandung,,6,0,0,10,0,0,2,3,0,0,0,0,0,0,3,0,0,3,0,0,0%,Tidak Ada,0%,Tidak Ada,71%,Tidak Lengkap,Merah
44186,Akademi Farmasi Al-Ishlah Cilegon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,0%,Tidak Ada,Hijau
44239,Akademi Farmasi Bumi Siliwangi,,6,6,6,9,9,9,1,3,3,3,2,2,2,0,2,2,2,6,1,1,60%,Belum Tervalidasi,60%,Belum Terverifikasi,74%,Tidak Lengkap,Merah
44246,Akademi Farmasi Persada Sukabumi,,6,4,4,0,0,0,0,3,0,0,4,4,0,0,0,0,0,6,0,0,11%,Belum Tervalidasi,11%,Belum Terverifikasi,43%,Tidak Lengkap,Merah
44238,Akademi Farmasi YPF,,6,6,6,10,10,10,0,3,3,3,4,4,4,0,10,10,10,6,6,6,100%,Sudah Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Merah
44075,Akademi Industri Tekstil Bandung,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Hijau
4001,Akademi Kebidahan Bhakti Asih Ciledug,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
44137,Akademi Kebidanan Aisyiyah Serang,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
44208,Akademi Kebidanan Al-Ikhlas Cisarua,,6,6,0,10,10,0,2,3,0,0,4,0,0,0,10,10,0,6,6,0,0%,Tidak Ada,91%,Belum Terverifikasi,100%,Sudah Unggah,Merah
44130,Akademi Kebidanan Al-Ishlah Cilegon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,0%,Tidak Ada,Merah
44241,Akademi Kebidanan Annisa Jaya,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,0%,Tidak Ada,Merah
44188,Akademi Kebidanan Ar-Rahmah Bandung,,6,6,0,8,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,40%,Belum Terverifikasi,40%,Tidak Lengkap,Hijau
44129,Akademi Kebidanan Assyifa Tangerang,,6,6,1,0,0,0,0,3,3,0,4,4,0,0,0,0,0,0,0,0,3%,Belum Tervalidasi,26%,Belum Terverifikasi,26%,Tidak Lengkap,Merah
44211,Akademi Kebidanan Bakti Indonesia Bogor,,6,5,5,10,2,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,14%,Belum Tervalidasi,20%,Belum Terverifikasi,83%,Tidak Lengkap,Merah
44228,Akademi Kebidanan Bandung,,6,6,6,10,10,10,5,3,3,3,4,4,4,0,10,10,10,6,6,6,100%,Sudah Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Merah
44250,Akademi Kebidanan Bhakti Asih Ciledug,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
44229,Akademi Kebidanan Bhakti Asih Cileduk,,6,1,0,8,8,0,0,0,0,0,0,0,0,1,7,7,0,1,1,0,0%,Tidak Ada,49%,Belum Terverifikasi,63%,Tidak Lengkap,Kuning
44198,Akademi Kebidanan Bhakti Mitra Husada,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
44219,Akademi Kebidanan Bina Husada Serang,,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,31%,Tidak Lengkap,Merah
44127,Akademi Kebidanan Bina Husada Tangerang,,6,0,0,10,3,0,3,3,0,0,0,0,0,0,9,9,0,6,6,0,0%,Tidak Ada,51%,Belum Terverifikasi,97%,Tidak Lengkap,Merah
44204,Akademi Kebidanan Bunda Auni Bogor,,6,0,0,9,0,0,3,3,0,0,0,0,0,0,6,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,69%,Tidak Lengkap,Merah
44231,Akademi Kebidanan Cipta Daya Husada,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
44197,Akademi Kebidanan Citama Raya Depok,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
44244,Akademi Kebidanan Farmako Husada Al-Muchtari Bogor,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Kuning
44182,Akademi Kebidanan Gema Nusantara Bekasi,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
44225,Akademi Kebidanan Graha Husada Cirebon,,6,5,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,2,0,3%,Belum Tervalidasi,29%,Belum Terverifikasi,31%,Tidak Lengkap,Merah
44174,Akademi Kebidanan Isma Husada Cirebon,,6,6,2,10,10,9,8,2,2,2,0,0,0,0,4,4,0,6,6,1,40%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Merah
44134,Akademi Kebidanan Karya Bunda Husada,1,0,0,1,0,0,0,16,0,0,3,0,0,3,2,0,0,10,0,0,0,40%,Belum Tervalidasi,0%,Tidak Ada,0%,Tidak Ada,Kuning
44192,Akademi Kebidanan La Tansa Mashiro,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,0%,Tidak Ada,Merah
44224,Akademi Kebidanan Medica Obgin,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,0%,Tidak Ada,Merah
44196,Akademi Kebidanan Prima Husada,,6,6,6,10,10,10,1,3,1,1,1,0,0,1,3,3,3,6,6,6,74%,Belum Tervalidasi,74%,Belum Terverifikasi,80%,Tidak Lengkap,Merah
44206,Akademi Kebidanan Prima Indonesia,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
44223,Akademi Kebidanan Sayid Sabiq Indramayu,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
44215,Akademi Kebidanan Sentra Bina Yudistira Tangerang,,6,1,1,10,6,6,7,3,2,2,4,4,0,0,3,0,0,6,0,0,26%,Belum Tervalidasi,26%,Belum Terverifikasi,80%,Tidak Lengkap,Merah
44199,Akademi Kebidanan Suka Wangi Bekasi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,0%,Tidak Ada,Merah
44170,Akademi Kebidanan Tri Dharma Husada Bandung,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,0%,Tidak Ada,Merah
44248,Akademi Kebidanan Ummul Quro Al-Islami Bogor,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
44226,Akademi Kebidanan Wijaya Husada,,6,0,0,10,0,0,3,3,0,0,3,0,0,0,2,2,0,6,0,0,0%,Tidak Ada,6%,Belum Terverifikasi,77%,Tidak Lengkap,Kuning
44116,Akademi Kebidanan Yayasan Husada Madani,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,0%,Tidak Ada,Merah
44207,Akademi Keperawatan Al-Ikhlas Cisarua,,6,0,0,10,10,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,29%,Belum Tervalidasi,29%,Belum Terverifikasi,46%,Tidak Lengkap,Merah
44160,Akademi Keperawatan Buntet Pesantren,,6,6,6,10,10,10,0,3,3,3,4,3,3,0,3,3,3,6,6,6,80%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Kuning
44185,Akademi Keperawatan Dharma Husada Cirebon,,6,6,1,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26%,Belum Tervalidasi,40%,Belum Terverifikasi,40%,Tidak Lengkap,Merah
44143,Akademi Keperawatan Kebonjati,,6,5,0,10,2,0,1,3,0,0,0,0,0,0,4,3,0,6,0,0,0%,Tidak Ada,29%,Belum Terverifikasi,83%,Tidak Lengkap,Merah
44230,Akademi Keperawatan RS Efarina,,6,6,6,10,10,6,1,3,3,2,0,0,0,0,3,3,3,6,6,4,60%,Belum Tervalidasi,80%,Belum Terverifikasi,80%,Tidak Lengkap,Merah
44172,Akademi Keperawatan Yatna Yuana Lebak,,6,4,3,3,3,3,1,2,2,2,0,0,0,0,0,0,0,0,0,0,23%,Belum Tervalidasi,26%,Belum Terverifikasi,31%,Tidak Lengkap,Merah
44152,Akademi Keperawatan YPIB Majalengka,,6,0,0,8,0,0,2,3,0,0,4,4,4,0,1,1,1,6,3,3,11%,Belum Tervalidasi,11%,Belum Terverifikasi,69%,Tidak Lengkap,Merah
46004,Akademi Komunitas Insan Tazakka,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
46001,Akademi Komunitas Multistrada,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Kuning
46003,Akademi Komunitas Presiden,,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,20%,Tidak Lengkap,Merah
46005,Akademi Komunitas Qurrota Ayun,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,0%,Tidak Ada,Merah
46002,Akademi Komunitas Toyota Indonesia,,6,6,6,6,6,6,1,3,3,3,4,4,0,0,4,4,0,6,6,6,60%,Belum Tervalidasi,71%,Belum Terverifikasi,71%,Tidak Lengkap,Merah
44242,Akademi Manajemen Gunung Leuser,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,0%,Tidak Ada,Merah
44064,Akademi Manajemen Informatika Dan Komputer Garut,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
44060,Akademi Manajemen Informatika Dan Komputer Serang,,6,1,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11%,Belum Tervalidasi,11%,Belum Terverifikasi,26%,Tidak Lengkap,Kuning
44110,Akademi Manajemen Informatika dan Komputer Wahana Mandiri,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Kuning
44089,Akademi Manajemen Informatika Dan Komputer YPAT,,6,6,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,31%,Belum Tervalidasi,43%,Belum Terverifikasi,43%,Tidak Lengkap,Kuning
44052,Akademi Maritim Cirebon,,6,6,6,10,10,10,2,2,2,2,4,3,3,1,4,4,4,6,5,5,77%,Belum Tervalidasi,77%,Belum Terverifikasi,80%,Tidak Lengkap,Merah
44035,Akademi Maritim Suaka Bahari,,6,6,1,10,10,0,0,3,3,1,0,0,0,0,1,1,0,6,6,1,9%,Belum Tervalidasi,74%,Belum Terverifikasi,74%,Tidak Lengkap,Merah
44236,Akademi Pariwisata (AKPAR) Bina Sarana Informatika Bandung,,6,6,6,9,3,3,6,3,1,1,1,1,0,0,8,8,8,6,0,0,51%,Belum Tervalidasi,51%,Belum Terverifikasi,91%,Tidak Lengkap,Hijau
44050,Akademi Pariwisata Bandung,,6,6,5,6,6,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,26%,Belum Tervalidasi,43%,Belum Terverifikasi,43%,Tidak Lengkap,Kuning
44107,Akademi Pariwisata Citra Buana Indonesia,,6,2,0,4,0,0,0,2,0,0,1,1,0,0,3,0,0,0,0,0,0%,Tidak Ada,6%,Belum Terverifikasi,43%,Tidak Lengkap,Merah
44093,Akademi Pariwisata Nasional Indonesia Bandung,,6,6,6,10,10,10,6,3,3,3,3,3,3,0,6,6,6,6,6,6,89%,Belum Tervalidasi,89%,Belum Terverifikasi,89%,Tidak Lengkap,Hijau
44111,Akademi Pariwisata NHI Bandung,,6,5,5,6,6,5,4,3,3,3,2,1,0,9,5,5,5,6,6,6,69%,Belum Tervalidasi,71%,Belum Terverifikasi,74%,Tidak Lengkap,Merah
44203,Akademi Pariwisata Nusantara Tangerang,,6,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17%,Belum Tervalidasi,17%,Belum Terverifikasi,26%,Tidak Lengkap,Merah
44065,Akademi Pariwisata Siliwangi,,6,6,1,10,10,0,0,3,3,0,4,4,0,0,10,10,0,6,6,0,3%,Belum Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Merah
44243,Akademi Pariwisata Tunas Nusantara Mandiri,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
44056,Akademi Pariwisata Yasmi,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0%,Tidak Ada,34%,Belum Terverifikasi,34%,Tidak Lengkap,Merah
44051,Akademi Perdagangan Bandung,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
44245,Akademi Perhotelan Tunas Indonesia,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
44176,Akademi Perpajakan Maria Mediatrix,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Hijau
44235,Akademi Perpajakan Padang (AKAP) Bekasi,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
44187,Akademi Radiognostik Dan Radioterapi Yapenpernus,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
44071,Akademi Sekretari Dan Manajemen Ariyanti,,6,6,6,9,9,9,7,3,3,0,4,4,3,0,5,5,5,6,6,4,69%,Belum Tervalidasi,83%,Belum Terverifikasi,83%,Tidak Lengkap,Merah
44098,Akademi Sekretari Dan Manajemen Insulindo,,6,1,1,9,3,3,0,1,1,0,2,2,2,0,3,1,1,6,0,0,14%,Belum Tervalidasi,17%,Belum Terverifikasi,71%,Tidak Lengkap,Merah
44070,Akademi Sekretari Dan Manajemen Lepisi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,0%,Tidak Ada,Merah
44062,Akademi Sekretari Dan Manajemen Tunas Harapan,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Hijau
44022,Akademi Sekretari Manajemen Taruna Bakti,,6,3,3,9,0,0,5,3,2,2,4,0,0,0,3,3,3,6,0,0,23%,Belum Tervalidasi,23%,Belum Terverifikasi,77%,Tidak Lengkap,Hijau
44069,Akademi Sekretari Triguna,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
44049,Akademi Sekretaris Dan Manajemen Kencana Bandung,,6,6,6,10,10,10,2,3,3,3,0,0,0,0,10,10,6,6,0,0,71%,Belum Tervalidasi,83%,Belum Terverifikasi,100%,Sudah Unggah,Merah
44072,Akademi Tata Boga Bandung,,6,6,6,10,10,10,1,3,3,3,4,4,0,1,6,6,6,6,6,6,89%,Belum Tervalidasi,89%,Belum Terverifikasi,89%,Tidak Lengkap,Merah
44092,Akademi Teknologi Aeronautika Siliwangi,,6,4,2,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6%,Belum Tervalidasi,11%,Belum Terverifikasi,46%,Tidak Lengkap,Merah
44074,Akademi Teknologi Bandung,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
44078,Akademi Teknologi Bogor,,6,1,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,6%,Belum Tervalidasi,6%,Belum Terverifikasi,26%,Tidak Lengkap,Merah
44249,Akademi Teknologi Radiologi,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Hijau
44105,Akademi Telekomunikasi Bogor,,6,6,1,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,9%,Belum Tervalidasi,23%,Belum Terverifikasi,26%,Tidak Lengkap,Kuning
44126,Akademi Telekomunikasi Nusantara,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
44045,AMIK Bumi Nusantara,,6,5,0,10,10,0,0,3,3,0,4,0,0,1,10,10,0,6,6,0,0%,Tidak Ada,97%,Belum Terverifikasi,100%,Sudah Unggah,Merah
44108,AMIK Citra Buana Indonesia,,6,6,6,8,8,8,1,3,3,3,4,1,1,1,3,3,3,5,5,5,71%,Belum Tervalidasi,71%,Belum Terverifikasi,71%,Tidak Lengkap,Merah
44233,AMIK Mapan Tangerang,,6,6,6,5,5,5,3,0,0,0,0,0,0,7,0,0,0,0,0,0,31%,Belum Tervalidasi,31%,Belum Terverifikasi,31%,Tidak Lengkap,Merah
44123,AMIK Pakarti Luhur,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Kuning
44102,AMIK Purnama Niaga,,6,4,4,10,10,10,0,3,0,0,3,0,0,0,3,0,0,6,0,0,40%,Belum Tervalidasi,40%,Belum Terverifikasi,80%,Tidak Lengkap,Merah
44068,AMIK Sultan Agung,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,17%,Belum Terverifikasi,17%,Tidak Lengkap,Merah
44009,AMIK Wira Nusantara,,6,6,6,8,8,8,1,3,3,3,0,0,0,0,1,1,1,6,6,6,69%,Belum Tervalidasi,69%,Belum Terverifikasi,69%,Tidak Lengkap,Hijau
41131,Deakin University,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
42016,Institut Bisnis Dan Informatika Kesatuan,,6,6,6,4,4,4,0,3,0,0,4,4,3,0,1,1,1,6,6,6,49%,Belum Tervalidasi,49%,Belum Terverifikasi,57%,Tidak Lengkap,Hijau
42010,Institut Bisnis Muhammadiyah Bekasi,,6,6,0,10,10,9,8,3,3,2,3,3,2,0,10,10,10,6,6,0,60%,Belum Tervalidasi,100%,Sudah Terverifikasi,100%,Sudah Unggah,Kuning
42030,Institut Budi Utomo Nasional,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,Tidak Ada,0%,Tidak Ada,17%,Tidak Lengkap,Merah
